[2026-06-13 11:10:15] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[IEEE] 2026-6-12 | Research Throughput of the Free-Spase Optical Communication Systems
[IEEE] 2026-6-12 | An Intelligent Security Operations Monitoring and Risk Mitigation Framework for Smart Infrastructures
[IEEE] 2026-6-12 | Motion Control of a Quadruped Bionic Robot
[ACM] 2026-6-12 | Adversarial Attacks on Locally Private Graph Neural Networks
[ACM] 2026-6-12 | Patient Privacy in Differentially Private Diagnostic Models
[ACM] 2026-6-13 | How Older Adults Enact Values Through Technology
[ACM] 2026-6-13 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[ACM] 2026-6-13 | Human Experience in AI-Mediated Worlds
[IEEE] 2026-6-12 | An Agentic AI for Personalized Investment Advisory: Detecting and Mitigating Cognitive Biases in Financial Decisions
[IEEE] 2026-6-12 | Two-Stage Auxiliary Model-Based Iterative Least Squares Parameter Estimation for a Class of Nonlinear Systems with Non-Uniform Sampling
[IEEE] 2026-6-12 | Knowledge Management Processes and Their Impact on Organizational Innovation for Enabling Artificial Intelligence Applications
[IEEE] 2026-6-12 | Reevaluating CNN Filter Dimensions: Experimental Findings on CIFAR-10 and Fashion-MNIST for Modern Network Architectures
[IEEE] 2026-6-12 | Planetary Terrain Modeling and Simulation Based on Interpolation of Low-Resolution Elevation Data
[IEEE] 2026-6-12 | Federated Learning for Privacy-Aware and Secure Medical Decision Support Systems
[IEEE] 2026-6-12 | A Multilingual Voice-First Generative AI Framework for Financial Literacy in Low-Resource Communities using Lightweight LLMs
[IEEE] 2026-6-12 | Deterministic Multi-Channel XPM Scalability in Octagonal-Core Nonlinear PCFs with Geometry Polarization and System-Level BER Limits
[IEEE] 2026-6-12 | ECG Multi-Class Diagnostics Using a Hybrid CNN-Transformer with Self-Supervised Pre-Training
[IEEE] 2026-6-12 | AI-Enabled Cloud-Edge-IoT Continuum for Hyper-Distributed and Trustworthy Applications
[IEEE] 2026-6-12 | Semi-Supervised Masked Autoencoders: Unlocking Vision Transformer Potential with Limited Data
[IEEE] 2026-6-12 | Prescribed-Time Connectivity-Preserving Consensus of Switched Nonlinear MASs
[IEEE] 2026-6-12 | A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Deep Learning Approaches
[IEEE] 2026-6-12 | Mitigating Latency and Spectral Inefficiency in 5G New Radio via Intelligent Queue-Driven Resource Scheduling
[IEEE] 2026-6-12 | Human-in-the-Loop Automation Patterns for Financial Services using Camunda and Modern Java UIs
[IEEE] 2026-6-12 | Comparative Analysis: Autoregressive Integrated Moving Average with Exogenous Variables and Long Short-Term Memory for Working Capital Forecasting: Container Repair Small and Mid-Size Enterprise
[IEEE] 2026-6-12 | HawkCharge: Hybrid Harris Hawk–Deep Reinforcement Learning Optimization for Intelligent Bidirectional EV DC-DC Converter Control
[IEEE] 2026-6-12 | Research on Synchronous Detection Method for Narrow-Pulse Lasers Based on Area Array Detectors
[IEEE] 2026-6-12 | Artificial Intelligence Applications in Human Resource Management: A Comprehensive Framework, Models, and Future Directions
[IEEE] 2026-6-12 | A Study on Using Revit in Architectural Design Studios
[IEEE] 2026-6-12 | A Robust Deep Learning Framework for Automated Digital Image Forgery Detection Under Real-World Post-Processing Attacks
[IEEE] 2026-6-12 | Multi Modal Visual Question Answering Integrating Hypergraph and K-means Clustering Algorithm
[IEEE] 2026-6-12 | Automation of the Formation and Assessment of Educational Assignments Using the GigaChat Neural Network Model in Engineering Education
[IEEE] 2026-6-12 | Providing 10-Gigabit Optical Home Using 50G-Passive Optical Network and Fiber-to-the-Room
[IEEE] 2026-6-12 | Hybrid Buoy Detection and Real-Time Path Planning for Autonomous Unmanned Surface Vehicles Using YOLOv8 and Contour Analysis
[IEEE] 2026-6-12 | ICICV 2026 TOC
